,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
240,数据分析师,10k-20k,3-5年,本科,环球易购,深圳 南山区 南油,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/b47d017a8474e89d1HR_3ty8FVc~.html
189,游戏数据分析师,8-16K,经验不限,大专,辉耀互娱,深圳 南山区 科技园,游戏,不需要融资,100-499人,https://www.zhipin.com/job_detail/2100184954cea2711Xx4292_GFI~.html
72,数据分析师,18k-30k,3-5年,硕士,货车宝科技,深圳 南山区 西丽,移动互联网,A轮,20-99人,https://www.zhipin.com/job_detail/f6d2d5054d8e40b31nx_3tq7EFo~.html
93,数据分析师,20k-30k,5-10年,本科,货车宝科技,深圳 南山区 西丽,移动互联网,A轮,20-99人,https://www.zhipin.com/job_detail/f4dce2fe0fcd7f891Hd63dm_EVo~.html
147,数据分析师,15k-20k,5-10年,本科,货车宝科技,深圳 南山区 西丽,移动互联网,A轮,20-99人,https://www.zhipin.com/job_detail/336f0a3364dcc9c91Xx43du-FFU~.html
7,数据分析师,20k-35k,3-5年,硕士,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/a58447014c5e25ad1HVy39q7EFU~.html
31,高级数据分析专家(J11521),25k-30k,经验不限,学历不限,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/c02bbc9328ce70611XN73NS9GFo~.html
58,资深\高级数据分析师(J11693),15k-30k,3-5年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/3d8c37dfda2d14db1HZ92t-4FlU~.html
65,数据分析师,10k-15k,1-3年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/1b24902fde9628f81XB43965ElY~.html
67,高级数据分析师,25k-50k,5-10年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/7df36260f2061b6f1XF709y1FFE~.html
79,高级数据分析师(J11807),25k-50k,5-10年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/779a1f1c461fb9361HJ73Nu6FFU~.html
101,数据分析总监/副总监(J10846),25k-50k,5-10年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/3e3f0566ccd0b3861XFz09y9GFQ~.html
127,资深数据分析师(J11772),50k-70k,5-10年,本科,货拉拉科技,深圳 福田区 梅林,互联网,D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/09531ed3d5cdd25b1HF42tm7EVI~.html
124,数据分析师（挖掘方向）,15k-25k,3-5年,本科,吉比特,深圳 南山区 科技园,游戏,已上市,500-999人,https://www.zhipin.com/job_detail/0136b95b748f983e1XVz0t-0FFY~.html
118,数据分析师,15k-25k,3-5年,本科,吉屋科技,深圳 南山区 科技园,计算机软件,A轮,100-499人,https://www.zhipin.com/job_detail/8f0afdf1b6af013b1XF43ty6EVo~.html
142,高级/资深商业数据分析专员,10k-15k,3-5年,大专,嘉鸿网络科技,深圳 南山区 科技园,电子商务,不需要融资,500-999人,https://www.zhipin.com/job_detail/9997490d814235c71Hd50920ElY~.html
