,0,1,2,3,4,5,6,7,8,9,10,11,12,13
93,4608137,深圳,腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,"移动互联网 ,游戏",上市公司,南山区,硕士,开发|测试|运维类,2019-05-06,风控（海外）策略及数据分析工程师（深圳）,25k-40k,3-5年
94,5650495,深圳,上海海万信息科技股份有限公司,[],500-2000人,"移动互联网,金融",不需要融资,福田区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,3-5年
95,5815181,深圳,深圳市丰巢科技有限公司,"['五险一金', '通讯津贴', '交通补助', '带薪年假']",500-2000人,"移动互联网,O2O",A轮,南山区,本科,产品|需求|项目类,2019-05-05,高级数据分析师,30k-50k,5-10年
96,5682092,深圳,深圳白骑士大数据有限公司,"['专项奖金', '大数据', '反欺诈', '带薪年假']",50-150人,"企业服务,金融",A轮,南山区,本科,产品|需求|项目类,2019-05-05,高级数据分析师,15k-30k,3-5年
97,5614913,深圳,深圳市麦谷科技有限公司,"['绩效奖金', '年底双薪', '带薪年假', '年度旅游']",50-150人,"移动互联网,数据服务",A轮,南山区,硕士,产品|需求|项目类,3天前发布,数据分析师,10k-16k,1-3年
98,5843242,深圳,深圳市万事富科技有限公司,"['技能培训', '绩效奖金', '岗位晋升', '扁平管理']",150-500人,"移动互联网,电子商务",B轮,福田区,本科,产品|需求|项目类,3天前发布,数据分析师,15k-20k,3-5年
99,4465656,深圳,北京通力互联技术服务有限公司,"['绩效奖金', '交通补助', '定期体检', '通讯津贴']",2000人以上,"电子商务,企业服务",不需要融资,南山区,大专,产品|需求|项目类,3天前发布,数据分析,6k-9k,1-3年
100,5881881,深圳,神策网络科技（北京）有限公司,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",150-500人,数据服务,C轮,南山区,本科,产品|需求|项目类,2天前发布,数据分析咨询师-深圳,20k-40k,5-10年
101,5816342,深圳,深圳市领域健身有限公司,[],150-500人,生活服务,不需要融资,福田区,大专,产品|需求|项目类,3天前发布,数据分析师,12k-15k,3-5年
102,5277133,深圳,百融金融信息服务股份有限公司,"['技能培训', '股票期权', '带薪年假', '定期体检']",500-2000人,"金融,数据服务",C轮,南山区,本科,产品|需求|项目类,3天前发布,数据分析师,10k-20k,3-5年
103,5344745,深圳,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,电子商务",不需要融资,南山区,本科,开发|测试|运维类,2019-05-09,HAK高级数据分析师,21k-26k,3-5年
104,5603679,深圳,深圳平安综合金融服务有限公司,[],2000人以上,"金融,数据服务",上市公司,福田区,本科,产品|需求|项目类,2019-05-06,数据分析师（大数据SZ）,30k-60k,5-10年
105,5523984,深圳,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,宝安区,本科,开发|测试|运维类,2019-05-09,资深\高级数据分析师（互联网）,25k-45k,5-10年
106,5243801,深圳,腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,"移动互联网 ,游戏",上市公司,南山区,本科,开发|测试|运维类,3天前发布,CSIG18-高级数据分析师（深圳）,15k-30k,3-5年
107,4461562,深圳,北京通力互联技术服务有限公司,"['绩效奖金', '交通补助', '定期体检', '通讯津贴']",2000人以上,"电子商务,企业服务",不需要融资,南山区,本科,开发|测试|运维类,3天前发布,数据分析,7k-14k,1-3年
108,5502885,深圳,维沃移动通信有限公司,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,移动互联网,未融资,宝安区,本科,开发|测试|运维类,2019-05-09,高级\资深数据分析师,25k-45k,5-10年
109,5381690,深圳,深圳友宝科斯科技有限公司,"['带薪年假', '定期体检', '全勤奖', '商业保险']",500-2000人,"O2O,移动互联网",上市公司,南山区,大专,产品|需求|项目类,2019-05-06,数据分析,5k-7k,1-3年
110,5497085,深圳,恒大智慧科技有限公司,[],500-2000人,"移动互联网,人工智能",不需要融资,南山区,本科,产品|需求|项目类,2019-05-07,数据分析师,20k-40k,3-5年
111,5774760,深圳,华润万家有限公司,"['年底双薪 ', '绩效奖金 ', '五险一金 ', '带薪年假 ']",2000人以上,"电子商务 ,生活服务",上市公司,罗湖区,大专,产品|需求|项目类,2019-05-09,数据分析师,6k-8k,3-5年
112,5721292,深圳,康美中药材数据信息服务有限公司,[],50-150人,数据服务,上市公司,福田区,本科,开发|测试|运维类,3天前发布,数据分析师,8k-15k,1-3年
113,4857865,深圳,深圳爱拼信息科技有限公司,"['发展迅猛', '股票期权', '数据驱动', '美女多']",50-150人,数据服务,B轮,南山区,本科,产品|需求|项目类,2019-05-06,数据分析师,15k-30k,1-3年
